2017/05/18 04:32:36 [crit] 15920#15920: *14 connect() to unix://home/ricardo/PortalJunta/PortalJunta.sock failed (2: No such file or directory) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /contactos/ HTTP/1.1", upstream: "http://unix://home/ricardo/PortalJunta/PortalJunta.sock:/contactos/", host: "127.0.0.1"
2017/05/18 04:32:47 [crit] 15920#15920: *14 connect() to unix://home/ricardo/PortalJunta/PortalJunta.sock failed (2: No such file or directory) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://unix://home/ricardo/PortalJunta/PortalJunta.sock:/", host: "127.0.0.1"
2017/05/18 04:33:19 [crit] 16092#16092: *1 connect() to unix://home/ricardo/PortalJunta/PortalJunta.sock failed (2: No such file or directory) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://unix://home/ricardo/PortalJunta/PortalJunta.sock:/", host: "127.0.0.1"
2017/05/18 04:33:39 [crit] 16092#16092: *1 connect() to unix://home/ricardo/PortalJunta/PortalJunta.sock failed (2: No such file or directory) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://unix://home/ricardo/PortalJunta/PortalJunta.sock:/", host: "127.0.0.1"
2017/05/18 04:33:56 [crit] 16092#16092: *1 connect() to unix://home/ricardo/PortalJunta/PortalJunta.sock failed (2: No such file or directory) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://unix://home/ricardo/PortalJunta/PortalJunta.sock:/", host: "127.0.0.1"
2017/05/18 04:34:04 [crit] 16092#16092: *1 connect() to unix://home/ricardo/PortalJunta/PortalJunta.sock failed (2: No such file or directory) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "http://unix://home/ricardo/PortalJunta/PortalJunta.sock:/", host: "127.0.0.1"
2017/05/24 20:11:00 [error] 969#969: *223 open() "/home/ricardo/PortalJunta/myapp/static/admin/css/base.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/css/base.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/login/?next=/admin/"
2017/05/24 20:11:00 [error] 969#969: *227 open() "/home/ricardo/PortalJunta/myapp/static/admin/css/login.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/css/login.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/login/?next=/admin/"
2017/05/24 20:11:19 [error] 969#969: *223 open() "/home/ricardo/PortalJunta/myapp/static/admin/css/base.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/css/base.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/"
2017/05/24 20:11:19 [error] 969#969: *223 open() "/home/ricardo/PortalJunta/myapp/static/admin/css/dashboard.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/css/dashboard.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/"
2017/05/24 20:11:19 [error] 969#969: *223 open() "/home/ricardo/PortalJunta/myapp/static/admin/css/base.css" failed (2: No such file or directory), client: 127.0.0.1, server: localhost, request: "GET /myapp/static/admin/css/base.css HTTP/1.1", host: "127.0.0.1", referrer: "http://127.0.0.1/admin/"
